age,income,credit_score,gender,education
40.960569836134795,70990.33154879003,582.4821725025619,F,Bachelor
33.340828385945784,63869.505243691536,635.5481329284482,F,PhD
42.77226245720831,50894.45554880261,570.7580079000039,F,Master
53.2763582768963,40295.94833441639,619.203847036096,F,High School
32.19015950331997,60473.34970420385,460.63853330462143,M,PhD
32.19035651660983,55902.28078132625,671.3293707372939,M,Bachelor
53.9505537860887,63427.89830041598,650.1205475362224,M,Bachelor
44.20921674983491,59527.57702522954,568.2911368931809,F,Bachelor
29.366307368780575,65743.29072979002,715.9245668432405,M,Master
41.51072052303157,41971.47182659148,743.7570137626558,F,Bachelor
29.438987686250453,69760.91098451489,489.2440135631026,M,PhD
29.41124295715692,52963.994070386,573.7275221433786,F,PhD
37.90354725879241,81128.91308937898,573.0857650212702,M,Bachelor
18.0,39662.18272865648,556.0096898891136,M,PhD
18.0,76039.45704747875,732.9474841931749,F,Bachelor
28.252549649108328,52968.66175193972,630.6173861227196,M,Bachelor
22.846026555986914,40228.72994578328,623.5485158689389,F,High School
38.77096799114329,42741.71248918518,449.61376355932464,M,Master
24.103711093745467,45194.7903770852,713.5418030209227,M,Master
18.0523555839765,56362.48919602875,526.0741605146527,F,High School
52.587785227058646,57842.5323205325,655.9932630266328,F,High School
32.29068439416157,41394.49994092131,677.7376937958192,M,Master
35.81033845625509,49634.68111608526,786.0658595838651,M,Bachelor
18.0,82134.05537917795,519.1179600880888,M,Bachelor
28.467407305697808,75913.14755151067,348.0487844179175,M,Master
36.33107107651839,56544.85504511048,668.3849544753695,M,Bachelor
21.188077070932366,50570.05217252301,830.0511181510853,M,High School
39.508376220148065,51800.46990077392,773.8946352939437,F,Bachelor
27.79233572097434,59202.769590956246,670.9659415274626,F,Bachelor
31.49967500248068,34658.111522023915,600.8363814367953,F,PhD
27.779520653247236,46139.35193864982,730.7122596637311,M,PhD
57.227338214107256,24971.23889183615,552.6453800295532,M,PhD
34.83803330314479,55988.34683907919,697.635776935622,M,Bachelor
22.3074688525292,59707.939095541115,700.5470159166626,F,Master
44.870538945238266,42752.20306550939,756.020990749888,F,High School
20.349876200347733,73609.80144935049,850.0,M,Bachelor
37.50636314005706,31613.515054964886,689.2415967178767,M,Master
18.0,28034.3767968527,599.1036374292502,F,Bachelor
19.061767413218835,53366.77727839958,647.4425687808006,F,High School
37.36233483042948,65706.47453918232,473.0924095110882,F,Bachelor
43.86159895994493,75258.91537186803,580.5286868910941,M,High School
37.05641937427965,43116.7360569659,609.0717561886896,M,Bachelor
33.612220611341115,66180.21250146943,597.5911602065407,M,High School
31.386755652928535,49422.372957489395,665.2354872033721,F,Bachelor
18.0,47410.59050088771,567.7580067617799,F,High School
26.361869499263495,63254.89906230009,762.1030667324471,M,PhD
29.47233474848255,59784.84317620129,650.0207064918197,M,Bachelor
47.68546671462699,26354.11764523626,649.0699678861374,F,Bachelor
39.12341947482154,72148.10524588844,617.2105283487082,M,Master
18.0,70701.37031221177,665.5190683858979,F,Master
38.88900763273754,40616.559477357056,732.5098264667635,F,High School
30.3790126350042,55937.05300156114,563.28697842891,M,Bachelor
26.876935996328495,57410.45279424108,584.1883510924744,F,High School
42.34011546609042,53910.10648735861,619.6273971223335,M,PhD
47.371994269951415,41745.4226923187,515.4129076526785,F,Master
46.175361429394385,39925.64948092923,568.0742140278502,F,High School
24.929389721328338,49616.688935128324,602.3779126455341,M,High School
31.289451489785424,67590.93528889047,737.4389180712727,F,Master
38.97516117684277,58154.002318916486,676.2561329001925,M,Bachelor
46.70654152546831,44440.78501870841,669.3589911367544,M,High School
29.24990914585652,61575.48065972517,735.0897962167973,F,Master
32.772092280034194,20000.0,636.2628211600603,M,Bachelor
21.72398031192766,67231.48550558156,689.046484992889,M,PhD
20.64552051103195,23904.293318328506,639.6778247067504,M,Master
44.750309868730376,44563.38587895302,676.5362349399628,M,High School
51.274880342849876,33204.95158060784,591.7241342388418,M,PhD
34.13587854103599,30579.777864186417,406.1182841723571,M,Bachelor
47.04239477470429,67412.4018106778,636.5720837813695,F,Bachelor
39.33963230057161,42984.48198032163,792.274813609994,M,Master
